id,name,description,unit,is_counter,is_variable_tariff,created_at,updated_at
1,Квартплата,Жилищно-коммунальные услуги,руб./м2,f,f,2016-09-15 08:21:19.94765,2016-11-03 13:36:19.540869
9,УСЛУГИ СВЯЗИ,"",руб,f,f,2016-11-28 12:12:16.349458,2016-11-28 12:12:16.349458
10,ВЫВОЗ ТБО ОТ ЖЭО,"",руб/чел,f,f,2016-11-28 12:17:06.844451,2016-11-28 12:17:06.844451
11,ДОЛГ ЗА ВОДУ ДУВК,"",руб,f,f,2016-11-28 12:18:34.002884,2016-11-28 12:18:34.002884
12,ГВС,"",руб,f,f,2016-11-28 12:19:19.265049,2016-11-28 12:19:19.265049
16,ВЫВОЗ ТБО,"",руб,f,f,2016-11-28 12:19:59.562108,2016-11-28 12:19:59.562108
17,ДОЛГ ПО ОБСЛУЖИВАНИЮ ЖИЛЬЯ,"",руб,f,f,2016-11-28 12:20:30.415569,2016-11-28 12:20:30.415569
18,ДОЛГ ЗА ВОДУ,"",руб,f,f,2016-11-28 12:21:37.79725,2016-11-28 12:21:37.79725
20,ГАЗ(СЧЕТЧИК),"",руб,t,f,2016-11-28 12:22:13.257799,2016-11-28 12:22:13.257799
21,ВОДА(СЧЕТЧИК),"",руб,t,f,2016-11-28 12:22:53.966919,2016-11-28 12:22:53.966919
22,СТОКИ ГВС,"",руб,t,f,2016-11-28 12:23:19.769916,2016-11-28 12:23:19.769916
23,РЕСТРУКТУРИЗАЦИЯ ДОЛГА,"",руб,f,f,2016-11-28 12:23:52.993524,2016-11-28 12:23:52.993524
36,ДОЛГ ЗА ТЕПЛОСНАБЖЕНИЕ,"",руб,f,f,2016-11-28 12:24:28.192563,2016-11-28 12:24:28.192563
37,ДОЛГ ЗА ЭЛЕКТРОЭНЕРГИЮ,"",руб,f,f,2016-11-28 12:24:53.328684,2016-11-28 12:24:53.328684
39,ГВС(СЧЕТЧИК),"",руб,t,f,2016-11-28 12:25:31.621969,2016-11-28 12:25:31.621969
41,ОТОПЛЕНИЕ (СЧЕТЧИК),"",руб,t,f,2016-11-28 12:25:56.609695,2016-11-28 12:25:56.609695
46,ПОЛЬЗОВАНИЕ ПОДЗЕМ. ГАРАЖОМ,"",руб,f,f,2016-11-28 12:26:30.554919,2016-11-28 12:26:30.554919
70,ДОМОФОН,"",руб,f,f,2016-11-28 12:27:05.143033,2016-11-28 12:27:05.143033
77,УСЛУГИ УГСО,"",руб,f,f,2016-11-28 12:27:31.038924,2016-11-28 12:27:31.038924
85,ГПЗ,"",руб,f,f,2016-11-28 12:28:00.61971,2016-11-28 12:28:00.61971
86,АКТ  НАРУШЕНИЯ(ЕЛЕКТРОЭНЕРГИЯ),"",руб,f,f,2016-11-28 12:28:22.065971,2016-11-28 12:28:22.065971
87,ГПЗ ПО АКТУ (ЕЛЕКТРОЭНЕРГИЯ),"",руб,f,f,2016-11-28 12:28:48.687155,2016-11-28 12:28:48.687155
88,ВОЗМЕЩЕНИЕ ЗА ЭЛЕКТРОЭНЕРГИЮ,"",руб,f,f,2016-11-28 12:29:14.343871,2016-11-28 12:29:14.343871
105,КВИТАНИЦИЯ ЗА ТЕПЛОСНАБЖЕНИЕ,"",руб,f,f,2016-11-28 12:29:48.130457,2016-11-28 12:29:48.130457
601,ПО ДОГОВОРУ,"",руб,f,f,2016-11-28 12:30:15.904335,2016-11-28 12:30:15.904335
603,ОБСЛУЖИВАНИЕ ЖИЛЬЯ,"",руб,f,f,2016-11-28 12:30:43.889698,2016-11-28 12:30:43.889698
608,КВАРТПЛАТА С ЛИФТОМ,"",руб,f,f,2016-11-28 12:31:07.159332,2016-11-28 12:31:07.159332
700,"ХОЛОДНАЯ ВОДА, Ч.С.","",руб,f,f,2016-11-28 12:31:39.418852,2016-11-28 12:31:39.418852
701,"ВЫВОЗ ТБО, Ч.С.","",руб,f,f,2016-11-28 12:32:10.200709,2016-11-28 12:32:10.200709
901,ТЕЛЕКОММУНИКАЦИОННЫЕ УСЛУГИ,"",руб,f,f,2016-11-28 12:32:38.138888,2016-11-28 12:32:38.138888
908,ИНТЕРНЕТ,"",руб,f,f,2016-11-28 12:33:01.925962,2016-11-28 12:33:01.925962
1475,ПОЛИВ,"",руб,f,f,2016-11-28 12:33:27.572831,2016-11-28 12:33:27.572831
1493,ПЕНЯ,"",руб,f,f,2016-11-28 12:33:48.627954,2016-11-28 12:33:48.627954
2,Газ,Услуги газоснабжения,руб/м3,f,f,2016-09-15 08:42:58.373657,2016-11-28 12:38:18.185218
3,Вода,Водоснабжение,руб./м3,f,f,2016-09-16 17:29:50.412992,2016-11-28 12:39:58.515158
4,СТОКИ,"",руб./м3,f,f,2016-10-17 16:41:36.268125,2016-11-28 12:41:57.832523
5,ВОДА И СТОКИ,"",руб./м3,f,f,2016-10-23 12:19:37.27523,2016-11-28 12:43:38.742238
6,ОТОПЛЕНИЕ И ГВС,"",руб./м3,f,f,2016-10-23 12:24:28.771618,2016-11-28 12:45:12.564274
7,ОТОПЛЕНИЕ,"",руб./м2,f,f,2016-11-08 18:17:00.642508,2016-11-28 12:46:24.661167
8,Электроэнергия,"",руб./кВт*ч,t,t,2016-11-28 12:10:33.588079,2016-11-28 12:47:16.113599
